episode,score,mean_score,epsilon,loss
1,0,0.0000,0.9995,
2,0,0.0000,0.9990,
3,0,0.0000,0.9985,
4,0,0.0000,0.9980,
5,0,0.0000,0.9976,
6,0,0.0000,0.9971,2.032055
7,0,0.0000,0.9966,1.892680
8,0,0.0000,0.9961,2.300391
9,0,0.0000,0.9956,1.634344
10,0,0.0000,0.9951,1.091005
11,0,0.0000,0.9946,1.377867
12,0,0.0000,0.9941,2.077165
13,0,0.0000,0.9936,1.109163
14,0,0.0000,0.9931,1.631611
15,0,0.0000,0.9927,1.258262
16,0,0.0000,0.9922,1.408928
17,0,0.0000,0.9917,0.790486
18,0,0.0000,0.9912,0.435990
19,0,0.0000,0.9907,0.659333
20,0,0.0000,0.9902,0.684865
21,0,0.0000,0.9897,0.333126
22,0,0.0000,0.9892,0.475268
23,0,0.0000,0.9887,0.289761
24,0,0.0000,0.9882,0.316823
25,0,0.0000,0.9878,0.209661
26,0,0.0000,0.9873,0.234417
27,0,0.0000,0.9868,0.213299
28,0,0.0000,0.9863,0.252804
29,0,0.0000,0.9858,0.077024
30,0,0.0000,0.9853,0.217531
31,0,0.0000,0.9848,0.091903
32,0,0.0000,0.9843,0.044662
33,0,0.0000,0.9838,0.322064
34,0,0.0000,0.9833,0.241440
35,0,0.0000,0.9829,0.054675
36,0,0.0000,0.9824,0.061265
37,0,0.0000,0.9819,0.044676
38,0,0.0000,0.9814,0.168998
39,0,0.0000,0.9809,0.121492
40,0,0.0000,0.9804,0.128788
41,0,0.0000,0.9799,0.131807
42,0,0.0000,0.9794,0.111999
43,0,0.0000,0.9789,0.143594
44,0,0.0000,0.9784,0.077278
45,0,0.0000,0.9779,0.078103
46,0,0.0000,0.9775,0.074970
47,0,0.0000,0.9770,0.109081
48,0,0.0000,0.9765,0.063664
49,0,0.0000,0.9760,0.190748
50,0,0.0000,0.9755,0.177870
51,0,0.0000,0.9750,0.197478
52,0,0.0000,0.9745,0.114124
53,0,0.0000,0.9740,0.114220
54,0,0.0000,0.9735,0.145334
55,0,0.0000,0.9730,0.124338
56,0,0.0000,0.9726,0.093863
57,0,0.0000,0.9721,0.108330
58,0,0.0000,0.9716,0.067473
59,0,0.0000,0.9711,0.239617
60,0,0.0000,0.9706,0.151717
61,0,0.0000,0.9701,0.073233
62,0,0.0000,0.9696,0.047065
63,0,0.0000,0.9691,0.108257
64,0,0.0000,0.9686,0.122094
65,0,0.0000,0.9681,0.117935
66,0,0.0000,0.9677,0.107347
67,0,0.0000,0.9672,0.060944
68,0,0.0000,0.9667,0.074312
